pclass,survived,embarked,home.dest,sex
1st,alive,Cherbourg,AlbanyNY,male
1st,alive,Cherbourg,AustriaHungaryGermantownPhiladelphiaPA,male
1st,alive,Cherbourg,BaselSwitzerland,male
1st,alive,Cherbourg,BelgiumMontrealPQ,female
1st,alive,Cherbourg,BrooklineMA,female
1st,alive,Cherbourg,BrooklynNY,male
1st,alive,Cherbourg,BrooklynNY,female
1st,dead,Cherbourg,BrooklynNY,male
1st,dead,Cherbourg,BuffaloNY,male
1st,alive,Cherbourg,CalgaryAB,male
1st,alive,Cherbourg,CalgaryAB,female
1st,alive,Cherbourg,ChicagoIL,female
1st,alive,Cherbourg,ChicagoIL,female
1st,dead,Cherbourg,ChicagoIL,male
1st,alive,Cherbourg,CooperstownNY,female
1st,dead,Cherbourg,DeephavenMNCedarRapidsIA,male
1st,alive,Cherbourg,DeephavenMNCedarRapidsIA,female
1st,alive,Cherbourg,DenverCO,female
1st,alive,Cherbourg,DowagiacMI,male
1st,alive,Cherbourg,DowagiacMI,female
1st,dead,Cherbourg,ElkinsParkPA,male
1st,alive,Cherbourg,ElkinsParkPA,female
1st,dead,Cherbourg,ElkinsParkPA,male
1st,dead,Cherbourg,GallipolisOhioParisNewYork,male
1st,dead,Cherbourg,GenevaSwitzerlandRadnorPA,male
1st,alive,Cherbourg,GenevaSwitzerlandRadnorPA,male
1st,alive,Cherbourg,GermantownPhiladelphiaPA,female
1st,alive,Cherbourg,GlenRidgeNJ,male
1st,dead,Cherbourg,HaverfordPA,male
1st,alive,Cherbourg,HaverfordPA,female
1st,alive,Cherbourg,HaverfordPA,male
1st,dead,Cherbourg,HaverfordPACooperstownNY,male
1st,alive,Cherbourg,HaverfordPACooperstownNY,female
1st,alive,Cherbourg,HaverfordPACooperstownNY,female
1st,alive,Cherbourg,HaverfordPACooperstownNY,male
1st,alive,Cherbourg,HaverfordPACooperstownNY,female
1st,alive,Cherbourg,IndianapolisIN,male
1st,alive,Cherbourg,LakewoodNJ,female
1st,dead,Cherbourg,LakewoodNJ,male
1st,alive,Cherbourg,LakewoodNJ,female
1st,dead,Cherbourg,LexingtonMA,male
1st,alive,Cherbourg,LexingtonMA,female
1st,alive,Cherbourg,LexingtonMA,female
1st,alive,Cherbourg,LondonParis,male
1st,alive,Cherbourg,LondonParis,female
1st,dead,Cherbourg,LosAngelesCA,male
1st,alive,Cherbourg,LosAngelesCA,female
1st,dead,Cherbourg,MadridSpain,male
1st,alive,Cherbourg,MadridSpain,female
1st,dead,Cherbourg,MexicoCityMexico,male
1st,dead,Cherbourg,MontevideoUruguay,male
1st,alive,Cherbourg,MontrealPQ,female
1st,dead,Cherbourg,MontrealPQ,male
1st,alive,Cherbourg,MontrealPQ,female
1st,alive,Cherbourg,MtAiryPhiladelphiaPA,female
1st,alive,Cherbourg,MtAiryPhiladelphiaPA,female
1st,dead,Cherbourg,NewYorkNY,male
1st,alive,Cherbourg,NewYorkNY,female
1st,alive,Cherbourg,NewYorkNY,male
1st,alive,Cherbourg,NewYorkNY,female
1st,dead,Cherbourg,NewYorkNY,male
1st,alive,Cherbourg,NewYorkNY,female
1st,dead,Cherbourg,NewYorkNY,female
1st,alive,Cherbourg,NewYorkNY,female
1st,dead,Cherbourg,NewYorkNY,male
1st,alive,Cherbourg,NewYorkNY,male
1st,alive,Cherbourg,NewYorkNY,female
1st,alive,Cherbourg,NewYorkNY,female
1st,alive,Cherbourg,NewYorkNY,female
1st,dead,Cherbourg,NewYorkNY,male
1st,alive,Cherbourg,NewYorkNY,female
1st,alive,Cherbourg,NewYorkNY,male
1st,dead,Cherbourg,NewYorkNY,male
1st,alive,Cherbourg,NewYorkNY,male
1st,alive,Cherbourg,NewYorkNY,female
1st,dead,Cherbourg,NewYorkNY,male
1st,dead,Cherbourg,NewYorkNY,male
1st,alive,Cherbourg,NewYorkNY,female
1st,alive,Cherbourg,NewYorkNY,male
1st,dead,Cherbourg,NewYorkNY,male
1st,alive,Cherbourg,NewYorkNY,female
1st,alive,Cherbourg,NewYorkNY,female
1st,dead,Cherbourg,NewYorkNY,male
1st,alive,Cherbourg,NewYorkNY,female
1st,alive,Cherbourg,NewYorkNY,female
1st,alive,Cherbourg,NewYorkNYBriarcliffManorNY,female
1st,alive,Cherbourg,NewYorkNYWashingtonDC,female
1st,alive,Cherbourg,NewarkNJ,male
1st,alive,Cherbourg,NewarkNJ,female
1st,dead,Cherbourg,OmahaNE,male
1st,alive,Cherbourg,ParisNewYorkNY,male
1st,alive,Cherbourg,ParisFrance,female
1st,alive,Cherbourg,ParisFrance,male
1st,alive,Cherbourg,ParisFrance,female
1st,alive,Cherbourg,ParisFrance,female
1st,alive,Cherbourg,ParisFrance,male
1st,alive,Cherbourg,ParisFrance,male
1st,alive,Cherbourg,ParisFrance,female
1st,dead,Cherbourg,ParisFrance,male
1st,alive,Cherbourg,ParisFrance,female
1st,alive,Cherbourg,ParisFranceNewYorkNY,male
1st,alive,Cherbourg,ParisFranceNewYorkNY,female
1st,dead,Cherbourg,ParisFranceNewYorkNY,female
1st,dead,Cherbourg,PhiladelphiaPA,male
1st,alive,Cherbourg,PhiladelphiaPA,female
1st,dead,Cherbourg,PhiladelphiaPA,male
1st,dead,Cherbourg,PortlandOR,male
1st,alive,Cherbourg,PortlandOR,female
1st,dead,Cherbourg,ProvidenceRI,male
1st,alive,Cherbourg,ProvidenceRI,female
1st,dead,Cherbourg,SanFranciscoCA,male
1st,dead,Cherbourg,StJamesLongIslandNY,male
1st,alive,Cherbourg,StockholmSweden,female
1st,alive,Cherbourg,TuxedoParkNY,male
1st,alive,Cherbourg,TuxedoParkNY,female
1st,alive,Cherbourg,TuxedoParkNY,male
1st,dead,Cherbourg,VancouverBC,male
1st,alive,Cherbourg,WashingtonDC,female
