### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,142,102,90.1265,0,255,0,0,100,1,1
1,318,35,-96.1034,0,255,0,0,100,1,1
2,45,286,-30.5346,0,255,0,0,100,1,1
3,266,511,-75.2001,0,255,0,0,100,1,1
4,15,397,-21.6727,0,255,0,0,100,1,1
5,185,348,151.961,0,255,0,0,100,1,1
6,312,225,86.5277,0,255,0,0,100,1,1
7,548,20,127.961,0,255,0,0,100,1,1
8,106,435,125.449,0,255,0,0,100,1,1
9,377,522,151.351,0,255,0,0,100,1,1
10,341,95,65.6988,0,255,0,0,100,1,1
11,295,103,-26.8245,0,255,0,0,100,1,1
12,71,503,-111.084,0,255,0,0,100,1,1
13,302,129,100.499,0,255,0,0,100,1,1
14,283,50,-14.7143,0,255,0,0,100,1,1
15,549,408,28.5833,0,255,0,0,100,1,1
16,23,573,83.3131,0,255,0,0,100,1,1
17,437,306,50.5347,0,255,0,0,100,1,1
18,507,77,-17.151,0,255,0,0,100,1,1
19,262,389,-45.8577,0,255,0,0,100,1,1
20,345,60,114.686,0,255,0,0,100,1,1
21,497,315,-35.4833,0,255,0,0,100,1,1
22,318,121,15.9858,0,255,0,0,100,1,1
23,30,195,170.557,0,255,0,0,100,1,1
24,192,273,137.468,0,255,0,0,100,1,1
25,583,249,165.071,0,255,0,0,100,1,1
26,99,195,47.2654,0,255,0,0,100,1,1
27,357,15,-169.431,0,255,0,0,100,1,1
28,153,484,4.39257,0,255,0,0,100,1,1
29,462,120,158.173,0,255,0,0,100,1,1
30,321,392,106.184,0,255,0,0,100,1,1
31,531,567,-85.807,0,255,0,0,100,1,1
32,65,366,92.4284,0,255,0,0,100,1,1
33,124,93,40.4237,0,255,0,0,100,1,1
34,215,568,-156.034,0,255,0,0,100,1,1
35,267,180,176.496,0,255,0,0,100,1,1
36,488,173,-48.1303,0,255,0,0,100,1,1
37,459,63,-96.6233,0,255,0,0,100,1,1
38,339,444,55.7512,0,255,0,0,100,1,1
39,528,403,-113.81,0,255,0,0,100,1,1
40,496,60,-3.98969,0,255,0,0,100,1,1
41,555,160,-163.637,0,255,0,0,100,1,1
42,278,274,-137.585,0,255,0,0,100,1,1
43,295,181,-178.91,0,255,0,0,100,1,1
44,184,415,166.277,0,255,0,0,100,1,1
45,551,71,82.062,0,255,0,0,100,1,1
46,555,61,-36.9382,0,255,0,0,100,1,1
47,399,275,-132.276,0,255,0,0,100,1,1
48,232,46,-138.095,0,255,0,0,100,1,1
49,388,552,73.7239,0,255,0,0,100,1,1
50,90,219,132.617,0,255,0,0,100,1,1
51,59,415,163.224,0,255,0,0,100,1,1
52,574,46,148.547,0,255,0,0,100,1,1
53,496,572,111.503,0,255,0,0,100,1,1
54,476,215,-53.4148,0,255,0,0,100,1,1
55,493,182,40.9697,0,255,0,0,100,1,1
56,146,129,-172.989,0,255,0,0,100,1,1
57,243,245,-87.331,0,255,0,0,100,1,1
58,574,307,-173.667,0,255,0,0,100,1,1
59,120,128,114.316,0,255,0,0,100,1,1
60,366,305,36.5029,0,255,0,0,100,1,1
61,208,129,170.491,0,255,0,0,100,1,1
62,366,70,45.8046,0,255,0,0,100,1,1
63,491,536,12.7778,0,255,0,0,100,1,1
64,324,233,-111.343,0,255,0,0,100,1,1
65,303,428,-70.379,0,255,0,0,100,1,1
66,43,422,-17.9537,0,255,0,0,100,1,1
67,210,387,102.853,0,255,0,0,100,1,1
68,242,216,1.30366,0,255,0,0,100,1,1
69,341,315,-163.945,0,255,0,0,100,1,1
70,143,319,-4.2202,0,255,0,0,100,1,1
71,49,532,-30.97,0,255,0,0,100,1,1
72,233,375,-99.4971,0,255,0,0,100,1,1
73,306,264,10.1504,0,255,0,0,100,1,1
74,260,332,90.3029,0,255,0,0,100,1,1
75,536,255,67.5018,0,255,0,0,100,1,1
76,279,310,96.7064,0,255,0,0,100,1,1
77,162,355,-128.175,0,255,0,0,100,1,1
78,442,446,-49.0489,0,255,0,0,100,1,1
79,114,352,121.64,0,255,0,0,100,1,1
80,150,195,143.129,0,255,0,0,100,1,1
81,163,455,70.5902,0,255,0,0,100,1,1
82,288,129,150.504,0,255,0,0,100,1,1
83,167,278,-134.651,0,255,0,0,100,1,1
